x0,x1,x2,y,x3,x4
A0,16.0,A0,0.08,,0.0
A1,30.0,A1,0.09,,0.0
A1,26.0,A2,0.03,,0.01
A2,31.0,A3,0.12,0.0,0.0
A3,30.0,A4,0.0,0.0,0.03
A1,29.0,A5,0.81,,0.0
A4,31.0,A0,0.84,2.79,0.02
A1,25.0,A6,0.37,0.04,0.03
A5,29.0,A0,0.75,,0.01
A2,31.0,A0,0.0,0.03,0.0
A6,22.0,A4,0.0,0.0,0.36
A2,34.0,A2,0.0,0.0,0.02
A7,35.0,A7,0.7,0.93,0.14
A8,15.0,A8,0.0,,0.11
A9,30.0,A0,0.25,0.0,0.0
A0,18.0,A9,0.91,0.1,0.0
A4,29.0,A8,0.12,,0.0
A1,30.0,A4,0.02,,0.0
A10,25.0,A2,0.08,0.03,0.0
A1,29.0,A4,0.0,0.0,0.02
A1,25.0,A2,0.14,0.0,0.0
A7,35.0,A9,0.09,0.44,0.03
A11,28.0,A5,0.0,0.02,0.0
A1,30.0,A2,0.15,0.0,0.0
A9,30.0,A0,0.21,,0.0
A10,24.0,A8,0.18,,0.0
A11,28.0,A3,0.0,0.02,0.0
A11,23.0,A5,0.01,0.0,0.0
A12,16.0,A1,0.0,0.0,0.35
A1,28.0,A0,0.05,0.0,0.0
A3,28.0,A10,0.0,,0.02
A0,18.0,A4,0.33,0.23,0.0
A10,22.0,A0,0.04,,0.0
A0,17.0,A0,1.58,0.06,0.0
A0,18.0,A0,0.03,0.02,0.0
A13,22.0,A9,0.02,0.01,0.0
A5,31.0,A7,0.12,0.13,0.0
A6,29.0,A0,0.17,0.14,0.0
A14,19.0,A3,0.0,0.0,0.52
A6,26.0,A0,0.13,,0.0
A15,11.0,A0,0.0,0.0,0.15
A13,23.0,A2,0.25,0.07,0.0
A1,29.0,A3,0.05,0.0,0.0
A6,23.0,A6,0.26,0.2,0.0
A6,27.0,A11,0.0,0.0,0.02
A2,33.0,A0,0.0,0.01,0.0
A4,35.0,A2,0.06,0.02,0.0
A3,29.0,A4,0.0,0.0,0.02
A5,28.0,A2,0.22,0.03,0.0
A4,27.0,A9,2.35,1.28,0.03
A3,32.0,A0,0.0,,0.11
A10,24.0,A10,0.16,,0.0
A9,28.0,A0,0.81,0.48,0.0
A6,22.0,A0,0.45,0.35,0.0
A16,35.0,A8,0.0,0.0,0.05
A6,24.0,A7,0.39,0.31,0.0
A11,26.0,A1,0.01,0.0,0.0
A0,18.0,A0,0.07,0.05,0.0
A4,31.0,A9,0.28,,0.0
A3,34.0,A4,0.0,0.0,0.01
A6,22.0,A8,0.14,,0.0
A6,28.0,A4,0.0,,0.04
A13,23.0,A7,0.85,,0.0
A6,30.0,A8,0.02,0.01,0.0
A5,34.0,A10,0.01,0.0,0.11
A0,17.0,A9,0.21,0.15,0.0
A9,27.0,A8,1.5,,0.0
A17,22.0,A0,0.19,0.05,0.0
A7,36.0,A10,0.0,0.0,0.02
A4,28.0,A0,0.04,0.0,0.0
A1,28.0,A3,0.0,0.0,0.03
A9,31.0,A8,0.11,,0.0
A17,24.0,A10,1.48,0.25,0.46
A3,26.0,A10,0.04,,0.0
A1,31.0,A0,0.09,0.0,0.0
A0,18.0,A5,0.03,,0.03
